rating,review
5,GoodREAD MORE
5,Nice camera but battery drain fast specially on video recordingREAD MORE
5,"Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy See Low light photos are amazing..READ MORE"
5,Just amazing!READ MORE
4,Nice UI and FastREAD MORE
5,Thanku filipkart best phone in the world ❤️READ MORE
4,Awesome 👍READ MORE
5,UltimateREAD MORE
5,I used iPhone 12 mini and now upgraded with iPhone 14. Camera quality is awesome.Full day battery backup.Super Retina display with high dynamic range is awesome.In terms of camera and battery life is big upgrade for me.READ MORE
5,Awesome phone with amazing featuresREAD MORE
5,Performance is really good and camera quality is fineREAD MORE
5,Just awesome....❤️🙌😌Display Camera Battery Processor....JUST WOW....✨💗☺️READ MORE
5,"Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.READ MORE"
5,"Amazing picture quality, awesome design, mind blowing display and fabulous performance and specially very handy phoneREAD MORE"
5,Excellent Product 🥳READ MORE
5,Very attractive Must buyLove It❤️❤️READ MORE
5,Just perfect!!READ MORE
5,An absolute beast. This is what you expect after paying such amount. Everything is perfect about this phone from build quality to camera to performance. Absolutely worth it.READ MORE
5,Super camera.READ MORE
5,What a phone.READ MORE
5,Reasons to get it over regular 13- 50 percent extra ram- Better camera sensors- Cinematic mode at 4k 30 fps (13 could only do     1080p 30fps)- Action mode for super stabilised videos- Better low light photos thanks to photonic engine- Better battery life - Extra gpu core for high graphics performance- New improved modem for fast and efficient mobile connectivity - Dual ambient light sensors - Better camera flash- Crash detection - Satellite connectivity (though currently not in I...READ MORE
5,After a losts of efforts when you get then Just Awesome 😊READ MORE
5,"Excellent smart phone, Good battery backup and performance is very good, Good camera quality.READ MORE"
5,Iphone 14 Nothing to say about it.... too Fast to furious... thank you Flipkart 👍READ MORE
5,The best camera best design !!1st iphone 14 !!i tried all  conditions light photo the quality is best i was impressed with device battery backup is good perform is very impressive 🔥READ MORE
5,"Amazing product, love the design and the feel is awesome Performance is very smooth.READ MORE"
5,awesome build quality and featuresREAD MORE
5,"It's a apple device .. that means you get the good old ios . No performance issue , supper ram and power management . My slightly distasteful remark would be on its camera .READ MORE"
5,GoodREAD MORE
5,Amazing device for daily life about camera about sound quality all are goodREAD MORE
4,Nice lookREAD MORE
5,Loved it 👍READ MORE
5,"Absolutely Awesome, Switching to iPhone was not easy but once i started using this phone. I am loving it.READ MORE"
4,NiceREAD MORE
4,Thanks Flipkart for this all new iPhone without any problem I got it and I'm finally Shifted 5 years later  redmi not 5 pro to new. iPhone 14 i really do hard work for this thing Last 8 month  Thanks 😊 I'm happy 😁 ❤️READ MORE
1,Suddenly power off  every 2 -3 min and battery percentage changes and Flipkart not replace  mobileREAD MORE
5,Looking Awesome ✨✨READ MORE
5,"Just awesome!!I switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it. Camera is best. Battery giving a full day. Speaker sounds wide and clear. Must buy!!READ MORE"
5,iphone is great Canera qulity is best Battery is powerful All dizine bestWork all best All over bestREAD MORE
5,NiceREAD MORE
5,Best phone but same as Iphone 13. There is no difference in 13 and 14.READ MORE
5,Excellent build quality. Much faster and smootherREAD MORE
5,Camera is superb.nice phoneREAD MORE
5,Great picture quality. Performance is good as always. The important addition is the cinematographic video recordingREAD MORE
5,"Totally in love with my new iphone 14. Battery backup is amazing which I never expected from Apple to be very honest.Built quality is excellent and it looks premium. Camera quality is excellent as well. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images.READ MORE"
5,"Review after a week Overall a powerful package for photo, video and gaming. Only thing which could have been better is battery, though it works whole day with low usage , but extensive use it would not go beyond half day.Camera 4/5Pictures in full zoom- 3Sound quality- 5/5Display- 4.5/5Performance- 5READ MORE"
5,Decent purchase:)READ MORE
5,"Happy to have iPhone 14. Wonderful phone specially because of Powerful camera😍, perfect screen size and potentially battery life make it worthy.READ MORE"
1,"The volume down button is struck and unable to volume up. The Flipkart team is saying it is open box delivery so they can't help.......how can we check the volume without opening/start the mobile, when i ask this question the customer support placing my call on hold and dropping my callREAD MORE"
5,You ever Heard the word Satisfaction...Yesss that is exactly how it feels to have it.READ MORE
5,Nice looking phone.READ MORE
5,"My 1st IOS device so far good😊Midnight Black the best you can have, the Camera quality is excellent along with the multitasking performance. Go for it!READ MORE"
5,Camera cinematic next level🔥🔥READ MORE
5,"Best in class in all the aspects. Top notch performance for display, camera and everything.READ MORE"
5,Love IPhone Dream IPhone..💜😍✌️🖤READ MORE
5,"Very nice product, camera quality is just amazing everything seems too real.Phone is very fast.READ MORE"
5,Best camera phoneREAD MORE
5,Really an overall great productREAD MORE
5,Love itREAD MORE
4,4 out of 5 Phone was so handy and superbREAD MORE
5,Absolutely AwesomeREAD MORE
5,Quality + Performance + Integrity = Apple IncREAD MORE
5,Very good phoneREAD MORE
5,My First iphone experience even though its 60hz refresh rate but feels so smooth and optimized and performance is top notch🔥..if u r looking for an iphone 13..go for i phone 14 trust me u will love it❤️READ MORE
5,Superb qualityREAD MORE
5,Good one got it around 67k . This is my first Apple mobile. Took time to get habituated to apple eco system but worth the wait. Simple and easy.READ MORE
5,Value for money product if you get the deal around 65 k .READ MORE
5,Awesome cameraREAD MORE
5,NiceREAD MORE
5,Amazing deviceI switch to iPhone 14 from iPhone 8. Great camera and power management full day battery backup. Sound quality and display also awesome. Just go for it if you have enough moneyREAD MORE
5,Superb camera and performance... Battery life is also good.... Great Display and awesome looks... 60hz refresh rate is better than android 90hz... Loved it ❤READ MORE
5,Nice oneREAD MORE
5,This is my first IOS device and I like it..I gifted this to my younger brother and he loved it. iPhone in-hand feel is damn premium 🙌🏻 also the camera quality is top notch to be honest I bought this phone only for smooth processor and camera quality. Just go for itREAD MORE
5,Best in the market. Camera quality awesome Battery easily goes for a daySpeakers are really good.READ MORE
5,I just love this phone  for the 1st time and the performance is awesome  just wow camera quality battery everything is awesome . I prefer anyone who can use this phone . Iphone using it for the 1st time never getting any problem . Just thank you Flipkart for providing me these at low cost as compared to retail shops . Thank you Flipkart and Apple . Just love it .READ MORE
5,Amazing!pictures...📸 everything good 😍READ MORE
5,Good nice trusted i checked everything i was conserned about weather I'll get fooled by delivery and all but it was new i checked everything as people used to say we get refurbished phone no it was good new freshREAD MORE
5,Awesome deal Tq Flipkart.IPhone 14 was powerfully packed 5G .Battery is good.Cameras next level .finally iPhone 14 is superb.loved ItREAD MORE
5,THE product is genuinely awesome.. and can't stop my etes from looking into the product.. Awesome work by APPLE and good customer support from seller and Flipkart...THANKS FOR THE PRODUCT... GO FOR ITREAD MORE
5,I'm happy with the phone and the deal I got from the Flipkart.READ MORE
5,Very niceREAD MORE
5,Best Phone in market.READ MORE
5,"No doubt, awesome product, go for itREAD MORE"
5,Best qualityREAD MORE
5,Excellent camera😊READ MORE
5,Nice Cinematic Video and Portrait photographyREAD MORE
1,Don't buy..... More heatingREAD MORE
5,Just wow😍😘READ MORE
5,"Excellent Smartphone, Amazing Picture quality, Good sound qualityREAD MORE"
5,Amazing Product 😇💯READ MORE
5,SuperbREAD MORE
5,I think this is wow what a performance camera too good love itREAD MORE
5,It looks so pretty 🫣❤️READ MORE
5,GoodREAD MORE
5,iPhone 14 starlight 🤍 beautiful design excellent camera great battery. I think it is better than previous year iPhone 13. Go for it 👌READ MORE
5,"Genuine and nice,worthy upgrade considering technical enhancements over IPhone 13(may not be for 13 users),like better sensor and low light performance, extra 2gb ram,5 core Gpu(as in 13 pro) and  longer ios support.New ios 16 is stable.Flipkart service is good.READ MORE"
5,"Great phone with great capabilities 🔥Excellent camera 📸Processor same as my 13pro New blue colour is awesome ❤️I have :- 14pro . 13pro . 12. 12mini . Also new this one iphone 14 . One thing is common in all have , there is no lag till the date. The one thing I always said it is what it is🔥🔥READ MORE"
5,"I wanted to buy yellow colour but that was not delivering on my pin code so went for this colour.After receiving this, I have no regression.Love this.iPhone heats a lot because of its built. Its frame is steel and the back is glass but it has great things when it gets hot, it restricts some features to cool it down.The camera is good, sometimes it misses focus.Performance is the best part of it.READ MORE"
5,I using this mobile for 2 days before I using Samsung m30 so..... This iPhone was very handy Performance a15 bionic with 6 core processorWe can't find the difference day to day life soo...this is awesome next camera camera is top notch I don't how to tell in words this very good camera same as dslr and videos is soo good quality but action mode is take 2.8k resolution and in dimlight is was sooo bad so while you take with action use gimbal ..... And over all the phone very good 👍READ MORE
5,Camera and battery Quality us best in this segmentREAD MORE
5,SuperREAD MORE
5,"Very good purchase.i bought it for my wife as a Padwa gift.but just my views on purchasing this expensive phone- if you are using Iphone very lower version go for it but if you are already in iphone 13 or 11 do not spend money,its not worth.no much change.but if you have lots of money then go for it.wife was using iphone 7 hence i purchased this latest one.now no purchase atleast for 6 years. iphone 7 also used 5 years and believe me it has no issues at all, but the only problem was batte...READ MORE"
