rating,review
5,"Finally after long wait I got my 512 GB IPhone 14 Pro Max, Deep Purple Colour. Superb Camera quality. Looks Premium. Upgraded from IPhone XR. Battery backup is nice. Thank you Flipkart for timely delivery.READ MORE"
5,Awsum Perfect product from apple 👍🏼READ MORE
5,Awesome camera quality. Just love it.READ MORE
5,Very nice 👌 Awesome 👌READ MORE
5,"Superb camera superb built quality, display best in the market. 24hr minimum Battery backup. daily use moderately sometime play games but not often . 2things are awesome the sound , never ever experience this type of sound and last but not the least camera in night mode it is beast . Video 🔥READ MORE"
5,Bought 1TB pro Max .... Op product..... Delivered safely and effectively... Thank you ❤️READ MORE
5,Nothing to say about i phone 14 pro max Just AwesomeREAD MORE
5,"King is here, it is really super se upar and flipkart delivery just mind blowing. Delivered early. Mine is pro max 512gb Silver colour.READ MORE"
5,Excellent iPhone most beautifully crafted and technically mastered for perfection in all tasks !READ MORE
5,"Finally, I got iPhone 14 Pro Max 512GB ( Deep Purple). Performance, Looks, Feels and Quality are awesome. Image and Video Quality are superb without any doubt. Don't think about it, Just go for it. JUST AWESOME. LOVED IT...READ MORE"
5,One of the best Smartphone you can buy right now.Let's start with the Pros of the phone:-Dynamic Island is a joy-Always-on screen is gorgeous-Exquisitely premium design-Beautiful 120Hz display-Incredible 48+12+12+12 MP camera system-Blistering performance-Outstanding battery life-Robust iOS 16 softwareNow let's talk a little about the Cons:-One of the heaviest phones you can buy-ExpensiveREAD MORE
5,Madly in love with the phone performance is blazing fast I love the pro motion display and dynamic island works as advertised I am in love with that feature 😍 I would like to thank Flipkart for organising the stock for me and delivering my phone on time before the delivery dateREAD MORE
5,Awesome mobile. Proud to be an iphone user. Thanks flipkart for quick delivery. Camera just wow. Battery is awesomeREAD MORE
5,Superb performanceREAD MORE
5,Satisfied product !!READ MORE
5,ThankREAD MORE
5,Nothing to say 😜 Just Awesome 😎READ MORE
5,Amazing 🤩 👌👌READ MORE
5,"This is good but not very good, if you have so much money so you can go with it, I feel very heavy in my hand, camra, battery and performance next level. spend money carefully, thanks Flipkart.READ MORE"
5,"This device is lit , just upgraded from iPhone 13. The camera is great ! Battery lasts more than a day, loved it. First of all had a little doubt if the phone would be genuine, but i did a thorough check after receiving it. Everything was fine, and its an Indian model for those who are curious about it. I would suggest you to buy the device from flipkart instead of buying it from apple authorised stores, this would save you more than ten thousand . Anyways Great device! Great performance! ...READ MORE"
5,Genuine productREAD MORE
5,Nice and superb camera quality.Feel very premium.Thanks to flipkart for delivery of the same within 2 days.Golden Colour is awesomeREAD MORE
5,Awesome productREAD MORE
4,Awesome experienceREAD MORE
5,AwesomeREAD MORE
5,Thank you seller Im so happy with the iPhone 14 pro max got it in deep purple colour 😘Loved the camera and everything about itThis is my first purchase from Flipkart.READ MORE
5,Just awesome 😊..i bought pro Max 512 gbREAD MORE
5,Sooo smoothREAD MORE
5,Great phoneREAD MORE
5,"Just go for it!!The iPhone 14 Pro Max Delivers Unparalleled Excellence - i I got the 512GB ROM variant.Review:I recently upgraded to the iPhone 14 Pro Max, and I must say, this device is a game-changer. From the moment I held it in my hands, I could tell that Apple had once again pushed the boundaries of smartphone technology. With its sleek design, stunning display, and an array of impressive features, the iPhone 14 Pro Max has exceeded my expectations in every way.One of the standout ...READ MORE"
5,"I Phone 14 Pro Max Unstoppable, My Dream Comes True - Thank u I PhoneREAD MORE"
5,SELLER AND AND PRODUCT BOTH BEST...AND FAST SERVICE..READ MORE
5,Great phone. Feels premium. The display is awesome and camera is best in the segment. Thanks Flipkart for quick delivery.READ MORE
5,WowwwREAD MORE
5,Nice phoneREAD MORE
5,I purchased iphone first time. I loved the camera quality. But I would ask apple to please provide a feature guide. So we know how to utilize iphone fully and feel like it's worth paying lacs of rupees.READ MORE
4,"I think there is much hype created for the camera and the dynamic island. If I talk about camera, I have gotten better images with iPhone 13 in comparison to iPhone 14 Pro Max. Design and build is damn good for sure. Display is crisp and clear. Feels premium when you hold it. But it is heavy, so could feel a lot of weight in your hands. Sound is great with the onboard speakers. It is loud and clear. However if you want to feel bass do use a headphone or AirPods.READ MORE"
4,Good but no major upgrade from 13 pro maxREAD MORE
5,"Very nice, it's looking really fabulous and very smooth in operatingREAD MORE"
