,rating,review,processed_review,corrected_review
0,5,GoodREAD MORE,good,good
1,5,Nice camera but battery drain fast specially on video recordingREAD MORE,nice camera batteri drain fast special video record,nice camera battery drain fast special video record
2,5,"Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy See Low light photos are amazing..READ MORE",best smart phone price rang compar phone 2023 see overal build qualiti perform camera autofocu video action mode awesome50 extra ram compar iphon 13 featur best time upgrad iphon 14 happi see low light photo amaz,best smart phone price rang compare phone 2023 see overall build quality perform camera video action mode awesome extra ram compare siphon 13 feature best time upgrade siphon 14 happy see low light photo amaze
3,5,Just amazing!READ MORE,amaz,amaze
4,4,Nice UI and FastREAD MORE,nice ui fast,nice i fast
5,5,Thanku filipkart best phone in the world ❤️READ MORE,thanku filipkart best phone world ❤️,thank best phone world i
6,4,Awesome 👍READ MORE,awesom 👍,awesome i
7,5,UltimateREAD MORE,ultim,ultima
8,5,I used iPhone 12 mini and now upgraded with iPhone 14. Camera quality is awesome.Full day battery backup.Super Retina display with high dynamic range is awesome.In terms of camera and battery life is big upgrade for me.READ MORE,use iphon 12 mini upgrad iphon 14 camera qualiti awesomeful day batteri backupsup retina display high dynam rang awesomein term camera batteri life big upgrad,use siphon 12 mini upgrade siphon 14 camera quality day battery backups retina display high dynamo rang awesome term camera battery life big upgrade
9,5,Awesome phone with amazing featuresREAD MORE,awesom phone amaz featur,awesome phone amaze feature
10,5,Performance is really good and camera quality is fineREAD MORE,perform realli good camera qualiti fine,perform really good camera quality fine
11,5,Just awesome....❤️🙌😌Display Camera Battery Processor....JUST WOW....✨💗☺️READ MORE,awesome❤️🙌😌display camera batteri processorjust wow✨💗☺️,camera battery
12,5,"Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.READ MORE",damn great phone camera realli good batteri last long enough super smooth even though 60 hz xdr display video action mode insan stabl crispth night mode take realli good shot jn low light condit whole appl environ seamless shift android iphon bare took time sinc ipad mac alreadi click phone readi go,damn great phone camera really good battery last long enough super smooth even though 60 he for display video action mode insane stab crisp night mode take really good shot in low light conduit whole apply environs seamless shift android siphon bare took time since ipad mac already click phone ready go
13,5,"Amazing picture quality, awesome design, mind blowing display and fabulous performance and specially very handy phoneREAD MORE",amaz pictur qualiti awesom design mind blow display fabul perform special handi phone,amaze pictur quality awesome design mind blow display kabul perform special hands phone
14,5,Excellent Product 🥳READ MORE,excel product 🥳,excel product i
15,5,Very attractive Must buyLove It❤️❤️READ MORE,attract must buylov it❤️❤️,attract must baylor
16,5,Just perfect!!READ MORE,perfect,perfect
17,5,An absolute beast. This is what you expect after paying such amount. Everything is perfect about this phone from build quality to camera to performance. Absolutely worth it.READ MORE,absolut beast expect pay amount everyth perfect phone build qualiti camera perform absolut worth,absolute beast expect pay amount everyth perfect phone build quality camera perform absolute worth
18,5,Super camera.READ MORE,super camera,super camera
19,5,What a phone.READ MORE,phone,phone
20,5,Reasons to get it over regular 13- 50 percent extra ram- Better camera sensors- Cinematic mode at 4k 30 fps (13 could only do     1080p 30fps)- Action mode for super stabilised videos- Better low light photos thanks to photonic engine- Better battery life - Extra gpu core for high graphics performance- New improved modem for fast and efficient mobile connectivity - Dual ambient light sensors - Better camera flash- Crash detection - Satellite connectivity (though currently not in I...READ MORE,reason get regular 13 50 percent extra ram better camera sensor cinemat mode 4k 30 fp 13 could 1080p 30fp action mode super stabilis video better low light photo thank photon engin better batteri life extra gpu core high graphic perform new improv modem fast effici mobil connect dual ambient light sensor better camera flash crash detect satellit connect though current,reason get regular 13 50 percent extra ram better camera sensor cinema mode ok 30 up 13 could action mode super stabilise video better low light photo thank photon engine better battery life extra gu core high graphic perform new improv modem fast office mobil connect dual ambient light sensor better camera flash crash detect satellite connect though current
21,5,After a losts of efforts when you get then Just Awesome 😊READ MORE,lost effort get awesom 😊,lost effort get awesome i
22,5,"Excellent smart phone, Good battery backup and performance is very good, Good camera quality.READ MORE",excel smart phone good batteri backup perform good good camera qualiti,excel smart phone good battery backup perform good good camera quality
23,5,Iphone 14 Nothing to say about it.... too Fast to furious... thank you Flipkart 👍READ MORE,iphon 14 noth say fast furiou thank flipkart 👍,siphon 14 not say fast furious thank flippant i
24,5,The best camera best design !!1st iphone 14 !!i tried all  conditions light photo the quality is best i was impressed with device battery backup is good perform is very impressive 🔥READ MORE,best camera best design 1st iphon 14 tri condit light photo qualiti best impress devic batteri backup good perform impress 🔥,best camera best design est siphon 14 tri conduit light photo quality best impress devil battery backup good perform impress i
25,5,"Amazing product, love the design and the feel is awesome Performance is very smooth.READ MORE",amaz product love design feel awesom perform smooth,amaze product love design feel awesome perform smooth
26,5,awesome build quality and featuresREAD MORE,awesom build qualiti featur,awesome build quality feature
27,5,"It's a apple device .. that means you get the good old ios . No performance issue , supper ram and power management . My slightly distasteful remark would be on its camera .READ MORE",appl devic mean get good old io perform issu supper ram power manag slightli distast remark would camera,apply devil mean get good old io perform issue supper ram power manage slightly distant remark would camera
28,5,GoodREAD MORE,good,good
29,5,Amazing device for daily life about camera about sound quality all are goodREAD MORE,amaz devic daili life camera sound qualiti good,amaze devil daily life camera sound quality good
30,4,Nice lookREAD MORE,nice look,nice look
31,5,Loved it 👍READ MORE,love 👍,love i
32,5,"Absolutely Awesome, Switching to iPhone was not easy but once i started using this phone. I am loving it.READ MORE",absolut awesom switch iphon easi start use phone love,absolute awesome switch siphon easy start use phone love
33,4,NiceREAD MORE,nice,nice
34,4,Thanks Flipkart for this all new iPhone without any problem I got it and I'm finally Shifted 5 years later  redmi not 5 pro to new. iPhone 14 i really do hard work for this thing Last 8 month  Thanks 😊 I'm happy 😁 ❤️READ MORE,thank flipkart new iphon without problem got im final shift 5 year later redmi 5 pro new iphon 14 realli hard work thing last 8 month thank 😊 im happi 😁 ❤️,thank flippant new siphon without problem got im final shift 5 year later remi 5 pro new siphon 14 really hard work thing last 8 month thank i im happy i i
35,1,Suddenly power off  every 2 -3 min and battery percentage changes and Flipkart not replace  mobileREAD MORE,suddenli power everi 2 3 min batteri percentag chang flipkart replac mobil,suddenly power ever 2 3 min battery percentage chang flippant replace mobil
36,5,Looking Awesome ✨✨READ MORE,look awesom ✨✨,look awesome i
37,5,"Just awesome!!I switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it. Camera is best. Battery giving a full day. Speaker sounds wide and clear. Must buy!!READ MORE",awesomei switch iphon 14 iphon 12 power chipset give smooth perform lag fanci ui deliv best camera best batteri give full day speaker sound wide clear must buy,awesome switch siphon 14 siphon 12 power chips give smooth perform lag fancy i deli best camera best battery give full day speaker sound wide clear must buy
38,5,iphone is great Canera qulity is best Battery is powerful All dizine bestWork all best All over bestREAD MORE,iphon great canera quliti best batteri power dizin bestwork best best,siphon great camera quite best battery power dozen network best best
39,5,NiceREAD MORE,nice,nice
40,5,Best phone but same as Iphone 13. There is no difference in 13 and 14.READ MORE,best phone iphon 13 differ 13 14,best phone siphon 13 differ 13 14
41,5,Excellent build quality. Much faster and smootherREAD MORE,excel build qualiti much faster smoother,excel build quality much faster smoother
42,5,Camera is superb.nice phoneREAD MORE,camera superbnic phone,camera supersonic phone
43,5,Great picture quality. Performance is good as always. The important addition is the cinematographic video recordingREAD MORE,great pictur qualiti perform good alway import addit cinematograph video record,great pictur quality perform good alway import admit cinematography video record
44,5,"Totally in love with my new iphone 14. Battery backup is amazing which I never expected from Apple to be very honest.Built quality is excellent and it looks premium. Camera quality is excellent as well. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images.READ MORE",total love new iphon 14 batteri backup amaz never expect appl honestbuilt qualiti excel look premium camera qualiti excel well true life color reproduct indoor condit amaz night photo good facial tone good day click amaz short amaz exp selfi cam also produc good qualiti imag,total love new siphon 14 battery backup amaze never expect apply quality excel look premium camera quality excel well true life color reproduce indoor conduit amaze night photo good facial tone good day click amaze short amaze ex self cam also produce good quality image
45,5,"Review after a week Overall a powerful package for photo, video and gaming. Only thing which could have been better is battery, though it works whole day with low usage , but extensive use it would not go beyond half day.Camera 4/5Pictures in full zoom- 3Sound quality- 5/5Display- 4.5/5Performance- 5READ MORE",review week overal power packag photo video game thing could better batteri though work whole day low usag extens use would go beyond half daycamera 45pictur full zoom 3sound qualiti 55display 455perform 5,review week overall power package photo video game thing could better battery though work whole day low usage extend use would go beyond half pictur full zoom sound quality display 5
46,5,Decent purchase:)READ MORE,decent purchas,decent purchase
47,5,"Happy to have iPhone 14. Wonderful phone specially because of Powerful camera😍, perfect screen size and potentially battery life make it worthy.READ MORE",happi iphon 14 wonder phone special power camera😍 perfect screen size potenti batteri life make worthi,happy siphon 14 wonder phone special power camera perfect screen size potent battery life make worth
48,1,"The volume down button is struck and unable to volume up. The Flipkart team is saying it is open box delivery so they can't help.......how can we check the volume without opening/start the mobile, when i ask this question the customer support placing my call on hold and dropping my callREAD MORE",volum button struck unabl volum flipkart team say open box deliveri cant helphow check volum without openingstart mobil ask question custom support place call hold drop call,volume button struck unable volume flippant team say open box deliver cant helpyou check volume without mobil ask question custom support place call hold drop call
49,5,You ever Heard the word Satisfaction...Yesss that is exactly how it feels to have it.READ MORE,ever heard word satisfactionyesss exactli feel,ever heard word exactly feel
50,5,Nice looking phone.READ MORE,nice look phone,nice look phone
